Date,Year,Month Number,Month,Quarter,Week,Day,Day Name
01-01-2015 00:00,2015,1,January,Q1,1,1,Thursday
02-01-2015 00:00,2015,1,January,Q1,1,2,Friday
03-01-2015 00:00,2015,1,January,Q1,1,3,Saturday
04-01-2015 00:00,2015,1,January,Q1,2,4,Sunday
05-01-2015 00:00,2015,1,January,Q1,2,5,Monday
06-01-2015 00:00,2015,1,January,Q1,2,6,Tuesday
07-01-2015 00:00,2015,1,January,Q1,2,7,Wednesday
08-01-2015 00:00,2015,1,January,Q1,2,8,Thursday
09-01-2015 00:00,2015,1,January,Q1,2,9,Friday
10-01-2015 00:00,2015,1,January,Q1,2,10,Saturday
11-01-2015 00:00,2015,1,January,Q1,3,11,Sunday
12-01-2015 00:00,2015,1,January,Q1,3,12,Monday
13-01-2015 00:00,2015,1,January,Q1,3,13,Tuesday
14-01-2015 00:00,2015,1,January,Q1,3,14,Wednesday
15-01-2015 00:00,2015,1,January,Q1,3,15,Thursday
16-01-2015 00:00,2015,1,January,Q1,3,16,Friday
17-01-2015 00:00,2015,1,January,Q1,3,17,Saturday
18-01-2015 00:00,2015,1,January,Q1,4,18,Sunday
19-01-2015 00:00,2015,1,January,Q1,4,19,Monday
20-01-2015 00:00,2015,1,January,Q1,4,20,Tuesday
21-01-2015 00:00,2015,1,January,Q1,4,21,Wednesday
22-01-2015 00:00,2015,1,January,Q1,4,22,Thursday
23-01-2015 00:00,2015,1,January,Q1,4,23,Friday
24-01-2015 00:00,2015,1,January,Q1,4,24,Saturday
25-01-2015 00:00,2015,1,January,Q1,5,25,Sunday
26-01-2015 00:00,2015,1,January,Q1,5,26,Monday
27-01-2015 00:00,2015,1,January,Q1,5,27,Tuesday
28-01-2015 00:00,2015,1,January,Q1,5,28,Wednesday
29-01-2015 00:00,2015,1,January,Q1,5,29,Thursday
30-01-2015 00:00,2015,1,January,Q1,5,30,Friday
31-01-2015 00:00,2015,1,January,Q1,5,31,Saturday
