Days for shipping (real),Days for shipment (scheduled),Delivery Status,Late_delivery_risk,shipping date (DateOrders),Shipping Mode,Shipping_Id
2,4,Advance shipping,0,1/15/2018 11:24,Standard Class,5
2,4,Advance shipping,0,1/15/2018 2:39,Standard Class,30
2,4,Advance shipping,0,1/14/2018 21:23,Standard Class,45
2,4,Advance shipping,0,4/15/2017 14:25,Standard Class,92
2,4,Advance shipping,0,02-02-2017 11:43,Standard Class,94
2,4,Advance shipping,0,06-02-2017 11:33,Standard Class,102
2,4,Advance shipping,0,05-02-2015 23:49,Standard Class,114
2,4,Advance shipping,0,5/29/2017 23:28,Standard Class,118
2,4,Advance shipping,0,05-09-2015 01:13,Standard Class,123
2,4,Advance shipping,0,3/28/2017 15:30,Standard Class,125
2,4,Advance shipping,0,2/19/2017 11:52,Standard Class,126
2,4,Advance shipping,0,9/18/2016 1:13,Standard Class,193
2,4,Advance shipping,0,09-08-2016 13:30,Standard Class,197
2,4,Advance shipping,0,9/16/2016 5:26,Standard Class,205
2,4,Advance shipping,0,11-10-2016 13:14,Standard Class,213
2,4,Advance shipping,0,09-02-2016 12:06,Standard Class,215
2,4,Advance shipping,0,09-05-2016 13:41,Standard Class,216
2,4,Advance shipping,0,3/28/2016 8:07,Standard Class,219
2,4,Advance shipping,0,2/16/2016 5:54,Standard Class,223
2,4,Advance shipping,0,12/29/2017 20:01,Standard Class,229
2,4,Advance shipping,0,3/30/2016 0:25,Standard Class,232
2,4,Advance shipping,0,1/30/2018 15:46,Standard Class,245
2,4,Advance shipping,0,1/29/2016 12:14,Standard Class,250
2,4,Advance shipping,0,12/31/2016 15:26,Standard Class,254
2,4,Advance shipping,0,03-12-2016 04:59,Standard Class,255
2,4,Advance shipping,0,10/28/2016 6:25,Standard Class,258
2,4,Advance shipping,0,10/13/2016 12:34,Standard Class,273
2,4,Advance shipping,0,09-03-2016 23:08,Standard Class,277
2,4,Advance shipping,0,10-10-2016 16:15,Standard Class,279
2,4,Advance shipping,0,09-01-2016 02:49,Standard Class,280
2,4,Advance shipping,0,10/20/2016 14:29,Standard Class,281
2,4,Advance shipping,0,7/31/2017 19:42,Standard Class,289
2,4,Advance shipping,0,6/30/2017 22:43,Standard Class,291
2,4,Advance shipping,0,9/15/2017 7:01,Standard Class,297
2,4,Advance shipping,0,2/23/2017 5:12,Standard Class,304
2,4,Advance shipping,0,03-07-2017 18:30,Standard Class,308
2,4,Advance shipping,0,4/21/2015 4:03,Standard Class,310
2,4,Advance shipping,0,04-11-2015 21:35,Standard Class,329
2,4,Advance shipping,0,5/24/2015 7:20,Standard Class,331
2,4,Advance shipping,0,2/18/2017 0:50,Standard Class,333
2,4,Advance shipping,0,02-08-2017 20:07,Standard Class,334
2,4,Advance shipping,0,06-02-2017 02:47,Standard Class,339
2,4,Advance shipping,0,1/14/2018 19:38,Standard Class,344
2,4,Advance shipping,0,1/14/2018 16:08,Standard Class,354
2,4,Advance shipping,0,1/14/2018 14:23,Standard Class,359
2,4,Advance shipping,0,1/14/2018 9:08,Standard Class,374
2,4,Advance shipping,0,1/14/2018 5:38,Standard Class,384
